cik,company_name,taxonomy,concept,unit,value,start_date,end_date,accn,fy,fp,form,filed_date,frame
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,30196000000.0,,2014-09-27,0001193125-15-023732,2014,FY,8-K,2015-01-28,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,30196000000.0,,2014-09-27,0001193125-15-153166,2015,Q2,10-Q,2015-04-28,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,30196000000.0,,2014-09-27,0001193125-15-259935,2015,Q3,10-Q,2015-07-22,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,30196000000.0,,2014-09-27,0001193125-15-356351,2015,FY,10-K,2015-10-28,CY2014Q3I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,38001000000.0,,2014-12-27,0001193125-15-023697,2015,Q1,10-Q,2015-01-28,CY2014Q4I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,23159000000.0,,2015-03-28,0001193125-15-153166,2015,Q2,10-Q,2015-04-28,CY2015Q1I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,26474000000.0,,2015-06-27,0001193125-15-259935,2015,Q3,10-Q,2015-07-22,CY2015Q2I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,35490000000.0,,2015-09-26,0001193125-15-356351,2015,FY,10-K,2015-10-28,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,35490000000.0,,2015-09-26,0001193125-16-439878,2016,Q1,10-Q,2016-01-27,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,35490000000.0,,2015-09-26,0001193125-16-559625,2016,Q2,10-Q,2016-04-27,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,35490000000.0,,2015-09-26,0001628280-16-017809,2016,Q3,10-Q,2016-07-27,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,35490000000.0,,2015-09-26,0001628280-16-020309,2016,FY,10-K,2016-10-26,CY2015Q3I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,33312000000.0,,2015-12-26,0001193125-16-439878,2016,Q1,10-Q,2016-01-27,CY2015Q4I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,25098000000.0,,2016-03-26,0001193125-16-559625,2016,Q2,10-Q,2016-04-27,CY2016Q1I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,26318000000.0,,2016-06-25,0001628280-16-017809,2016,Q3,10-Q,2016-07-27,CY2016Q2I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,37294000000.0,,2016-09-24,0001628280-16-020309,2016,FY,10-K,2016-10-26,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,37294000000.0,,2016-09-24,0001628280-17-000717,2017,Q1,10-Q,2017-02-01,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,37294000000.0,,2016-09-24,0001628280-17-004790,2017,Q2,10-Q,2017-05-03,
